id	tweet	subtask_a	subtask_b	subtask_c
63875	@USER That’s your opinion. Barbz attacked Remy the same way. Now she is acceptable? Cardi is 26. Nicki’s flow and style changed in the beginning of her career.	NOT	NULL	NULL
79923	"2) I am absolutely furious with my fellow conservatives when they say, This sounds credible,"" or, ""If it's true..."" Do you guys have short-term memory that only goes back 90 days?"""	OFF	TIN	GRP
41374	@USER @USER And I don’t call striking down gun control legislation curtailing our civil rights.   Gun control legislation is just common sense.	NOT	NULL	NULL
13908	@USER And Bill Maher should try getting back into comedy.	NOT	NULL	NULL
65280	@USER Red Flags: She’s a “professor” at a liberal school and she’s “unable to have healthy relationships with men”. Translation: She’s an Antifa Dyke out to stop a Conservative Judge and President Trump even if she has to lie.	OFF	TIN	IND
44062	@USER He is such a dolt. He just loves being able to push people around!	NOT	NULL	NULL
85118	@USER She is among friends...IRA friends. A terrorist loves a terrorist.	OFF	TIN	IND
50330	@USER Creepy old pedo desperately trying to be relevant. Just an old guy from the old world which Trump has shattered.	OFF	TIN	IND
24894	@USER @USER @USER Trump is done. You are a Anti-Ameican pro-Trump azz!!	OFF	TIN	IND
66370	@USER @USER @USER @USER @USER So conservatives NEVER get abortions? Were you alive when abortions were illegal? I hear it was a pretty awesome time in history.	NOT	NULL	NULL
27872	@USER @USER Ppl must realize by now HRC only speaks when she is told to speak and only what she is supposed to say. HRC hasn’t had an original thought since college and probably before.   Research her pas with her SS guards and you will see how calm and considerate she is!	NOT	NULL	NULL
18243	@USER So liberals will cheer ...they live illegal aliens.....	NOT	NULL	NULL
51113	@USER She is a brave woman.  I thank her for telling her truth and am sorry that it was not on her own terms.	NOT	NULL	NULL
89476	.@USER shows data won’t convince supremacists that ACA + gun control are good for them. They know + still vote against their interests (because: racism). The question to ask is not ‘how to change their minds?’ but ‘how to win elections?’ #valuinghealth2018	NOT	NULL	NULL
21351	@USER @USER Because he is the most influential person in politics.  Much smarter than anyone on the left.   Air America worked out well didn't it.............	NOT	NULL	NULL
55662	@USER If she is close by I don’t mind checking in on her. I’m in Greenville NC	NOT	NULL	NULL
38627	Accidentally bought the baby spinach AND baby kale mix at the grocery store and honestly it’s kinda ruining my week. #HealthSucks	NOT	NULL	NULL
42961	@USER You are more then welcum	NOT	NULL	NULL
50681	"@USER Eg, ANTIFA holding the position that police are racist or should be killed. Generalizations such as those are what I'd call attacking law enforcement.""  ""Attacking the cancer in the body"" is not the same as ""attacking the body"" even if it's systemic."""	OFF	TIN	GRP
85897	@USER @USER You sound like the NRA saying it’s too soon to talk about gun control. If they were close to car as u say they would have seen the perp. Stop making excuses. The CHILD is the victim here.   If there are ppl who don’t know—  Parents:NEVER leave ur child unattended in a car. EVER.	NOT	NULL	NULL
43989	@USER Get her out and a new day will dawn what will you have for Brexit?	NOT	NULL	NULL
98131	@USER This one is tough. It‘s too easy to hold a grudge but fucking hard to let go.	OFF	TIN	IND
28529	@USER Still remember this show... sucks man 😞	OFF	UNT	NULL
99633	@USER Don't forget the ILLEGALS you are fighting for with tax payer money.	NOT	NULL	NULL
40035	"@USER @USER She is now going to the neurorealist crowd to complain that she just wants to be inclusive and that the ND community is attacking her for being white""."""	NOT	NULL	NULL
24263	@USER AWWW WE’RE GOING TO MISS YOU :(	NOT	NULL	NULL
22175	@USER @USER IM THAT GIRL THAT SAID “WHAT THE FUCK” — NAH I WISH I HAD THE MONEY FOR THAT CONCERT BUT THATD BE MY REACTION TOO LMAO	OFF	TIN	IND
92023	@USER I still don't get why this is a story or why she is a hero to the left?  She allegedly slept with what the left considers to be the most repulsive nazi to ever walk the earth and she's praised for it?	NOT	NULL	NULL
59091	@USER God bless you SIR	NOT	NULL	NULL
77364	@USER The vile creature is trying to portray herself as some fierce bitch at the same time she knows that's not what the gun control conversation is about. Paper tiger	OFF	TIN	IND
93469	@USER These headlines. You are on really dangerous ground for a publicly funded company. Who do you think you are?	NOT	NULL	NULL
20215	#SadNews: What #Republicans/#Conservatives/#Deplorables forget am #Democrats/#Liberals/#Tolerables also am #WeThePeople/#AmericanPeople.	NOT	NULL	NULL
42202	@USER tell that to him. He is very perfectionist. I don’t think we will change that ever 😅	NOT	NULL	NULL
81078	@USER everyone please vote for Vicki barbolack she is the most amazing kind hearted funny  and loved person on that stage no one has earned this more than her	NOT	NULL	NULL
16590	@USER Im not saying he is worse. I have no clue tbh I'm js that shits gonna be terrible if thats the case. TL gonna explode	OFF	TIN	IND
82090	@USER Release the documents! Do not listen to the Antifa crowd!	NOT	NULL	NULL
64830	@USER @USER live dangerously	NOT	NULL	NULL
95079	@USER Donald Trump in Nevada either at that MAGA rally or Tge GOP Convention...His Hollowing Out of America Tour or as Putin likes to put it...”project red wave”	NOT	NULL	NULL
69662	@USER She is a liar like Hilary Clinton.	OFF	TIN	IND
78245	now that's interesting!?!? 🧐  #JFKJr   @USER #kennedy #qanon #maga #magical URL	NOT	NULL	NULL
95860	@USER @USER Correction: Liberals deliberately distorting.	OFF	TIN	GRP
13624	@USER I can’t even listen to any of these idiotic Liberals. They all seem a brick short of a load.	OFF	TIN	GRP
98927	@USER Go after NRA if they allowed gun control this wouldn't happen.	OFF	TIN	GRP
46763	"@USER You are welcome. I don't always say it, but I'm so greatfull for this... everything. Thank you... we had nothing and you and Thor has given us everything. So if you ever need anything in return, just say the word and we will help,""   She truly was just so greatfull."""	NOT	NULL	NULL
71073	@USER I really thought so. He is the God of rap. How do you come back from that	OFF	TIN	IND
17957	@USER She is a hot one 🔥🔥🔥	NOT	NULL	NULL
98695	@USER @USER We loved hearing Laura speak in Duluth! She is truly a strong supporter of our beloved President...we need to flip MN RED!!!!	NOT	NULL	NULL
44056	#Republicans grow some balls and start playing dirty like these liberals assholes do! URL	OFF	TIN	GRP
46150	@USER Fake News or PROPAGANDA is the ENEMY of this Country	OFF	TIN	OTH
39223	@USER Liberals support this I thought.	NOT	NULL	NULL
74240	@USER At this point it’s just a money grab... they’re not even trying to hide it now	NOT	NULL	NULL
95893	@USER  time to kick may out and take on brexit as it should of been done 2 years ago. #conservatives #Maymustgo	NOT	NULL	NULL
97004	@USER @USER @USER @USER @USER @USER @USER @USER Yes his brain was effected. He is one of the sharpest attorneys in America. But maybe it effected your brain is tge what you meant?	OFF	TIN	IND
65621	@USER @USER @USER Your hatred is so deep that you construct the truth on how you want to see it. Trump continually insist on saving Social Security and it was Obama who bow down to every country and apologize for America. What's wrong with you are you that anti-American because of trump wow	NOT	NULL	NULL
44143	@USER Cause they're assholes	OFF	TIN	GRP
93507	#metoo is the BEST WEAPON the Liberals have because there is NO DUE PROCESS .. its all DISGUSTING ... and WOMAN are the ones USING it as the weapon .. shameful and TYPICAL Liberalism .. USE emotions FOR their own BENEFIT ... @USER POSTER CHILD for USING Woman	NOT	NULL	NULL
30116	"@USER @USER @USER @USER I still find it hilarious that people like you think that literally any response to a comment is liberals being upset"" and that getting a liberal upset is some kind of accomplishment."""	OFF	TIN	OTH
86231	@USER @USER @USER @USER @USER A woman in my town honked at an asshole driver who cut her off. He followed her home and beat her with a crowbar.	OFF	TIN	IND
31349	@USER Be careful Mr Tepper! Be very careful!!!!	NOT	NULL	NULL
59971	@USER @USER I tape it. Then when he is talking I fast-forward it. It’s funny to see his lips moving and not hear him!	NOT	NULL	NULL
43711	@USER Fixing that headline for you.  “Antifa Protestors Chant We Believe Christine Ford”	NOT	NULL	NULL
98985	@USER Cuz it’s the truth...and they don’t like that one bit. Doesn’t fit their agenda #MAGA	NOT	NULL	NULL
66589	@USER Pumped you are back playing. Go win you a ring. Favorite player- BP#4-REDS. GO RED SOX #0	NOT	NULL	NULL
13181	#Remainers whining are also in denial about the news around the rest of #Europe  Read dictionary on '#democracy' '#totalitarian' '#beyrayal' '#inevitable' 'YouTube' and 'OVER'!  #Brexit #EU #MBGA #MEGA #MAGA #MCGA #Conservatives #Patriots URL	NOT	NULL	NULL
69673	@USER He is nuts who would have ever imagined that the US would have concentration camps......he is the devil	OFF	TIN	IND
81124	@USER thats why they lobbied the government to ban reaserch funded bye the cdc that could be used to argue for gun control. guns in the home dont make you safer. quite the opposite.	OFF	TIN	GRP
22905	"Antifa Ally  Yvette Felarca   Takes a Hit to the Head ""  Berkeley 8-5-18 URL via @USER"	NOT	NULL	NULL
73241	@USER Now just vote him out. He is a known racist.	OFF	TIN	GRP
38431	@USER It's amazing how the Democrats are always leading in the CNN polls.  All the Liberals live for is the polls that they control.  Liberals are insane.	OFF	TIN	GRP
15194	@USER You already know he is 😂😂😂 and then blown coverages that gave Ole Miss TD	NOT	NULL	NULL
53929	@USER is the only one worth slapping your cock on #cocktribute and cumming all over #cumtribute   she is my CumSlave after all 😎	OFF	TIN	IND
75430	@USER Huh? I want gun control eliminated. I want ALL Americans to be able to keep and bear arms. If they abuse that right THEN deprive them of it.	NOT	NULL	NULL
65027	@USER I swear. I’m so glad my fat ass never drunk that shit. I’m tryna be slim but not crackhead slim🙇🏾‍♀️	OFF	UNT	NULL
99495	@USER @USER But the President.  He is that BAD!	OFF	TIN	IND
59560	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Here’s our response to @USER Antifa  Don’t you EVER ask our family for donations to #Antifa EVER AGAIN!!! URL	NOT	NULL	NULL
32011	@USER @USER @USER Sucks for you	OFF	TIN	IND
40327	I'm starting to think these things are a cover for #maga It distracts people from paying attention to trump. URL	NOT	NULL	NULL
32672	@USER It freaking sucks	NOT	NULL	NULL
84703	@USER Someone wrote it for her. She is irrelevant!!	NOT	NULL	NULL
11339	@USER Following the Constitution is not victimizing.  @USER and liberals in general despise the Constitution.	NOT	NULL	NULL
34389	@USER You are far too kind 😍😊🤗	NOT	NULL	NULL
17258	"@USER If you love our cops so much, why do you make it your life's goal to take away tools they need to stop crime, and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards""?"""	OFF	TIN	GRP
71603	@USER The liberals are really displaying hate &amp; their message of division. Republicans really need to take advantage of this by welcoming the disgusted democrats that had enough with their party &amp; want a solid policy &amp; no more insults.	OFF	TIN	GRP
54558	@USER Missing words are politically motivated. I have visited Israel in the past four times. I am not anti Semitic. There is more anti Semitism and racism in the @USER party. I have never encountered anti Semitic thoughts or actions in the @USER party.	NOT	NULL	NULL
36130	"@USER @USER Here are the People"" who ""Hold you up"" and who YOU hold up.  1st Photo They are beating a Republican Korean War VET. 2nd &amp; 3rd Photo ANTIFA is Beating Minorities, LGBT and Kids Because they are Conservative.  The LEFT, YOUR LEFT is all about shutting down FREE SPEECH! URL"	NOT	NULL	NULL
24755	#Liberals + #Conservatives= #neoliberalism &amp; #Globalization &amp; all of its Discontents: #PPP-#CorporateWelfare-Dilution of #Constitutional Rights/Freedoms &amp; #Justice-#SocioPoliEconFinancial #Corruption &amp; PARTICRATIC #Collusion of #cdnpoli/ticians for 1%ers!  URL	OFF	TIN	GRP
16066	@USER @USER I think she is lying about that too.  I have seen no threats and I have seen a thousand comments and articles on this story.	NOT	NULL	NULL
24591	@USER @USER I'm glad you are doing something fun!	NOT	NULL	NULL
43768	@USER @USER I think @USER is corrupt a back biter and a snake	NOT	NULL	NULL
96932	@USER @USER you are welcome	NOT	NULL	NULL
79870	@USER Good!  Kind of makes you wonder what these boneheads have really accomplished? Getting people to not watch them and support their team? #Missionaccomplishedwewontwatch  #maga #istand #BoycottNFL #Trump2020	NOT	NULL	NULL
73644	@USER @USER best way to convince ppl the a moment isn’t unforgiving is to savage any person who dares question your forgivingness.	NOT	NULL	NULL
62153	@USER It's odd because they could easily withdraw him and get another acceptable to conservatives seated before new Congress is seated in January.	NOT	NULL	NULL
93178	:) see she is the sweetest! URL	NOT	NULL	NULL
98133	@USER If you are displaced its on Facebook Watch...*disclaimer* - Facebook Watch kinda sucks.	NOT	NULL	NULL
20001	@USER Now you are a Netflix whisperer? Jack of all trades right here. 😒	NOT	NULL	NULL
98318	@USER @USER @USER They aren’t making fun of the woman. They are making fun of the liberals supporting barbaric tradition of covering a woman’s body with a garbage bag because men might be inclined to rape them at any given moment.	OFF	TIN	IND
10377	sitting here tonight thinking and it’s made me well wanna go back to maga next year	NOT	NULL	NULL
12524	@USER Tua has RB typename vision. He is a 💎.	NOT	NULL	NULL
65473	"#Kavanaugh can't back out of nomination. He couldn't go back to #DCCircuit w/no repercussions. This charge will follow him. When Dems take back Congress, they WILL launch investigations. Conservatives who lie to get Judgeships will be impeached for high Crimes &amp; Misdemeanors"""""	OFF	TIN	IND
59993	@USER @USER and ban him from the booty	NOT	NULL	NULL
27789	@USER Conservatives apparently won't do anything because the only thing out of your mouth is words saying what you will do without explaining HOW you will do it. That's OK. We had a decade of Harper showing us the how. You obviously know what Canada thought of him after his majority.	NOT	NULL	NULL
28236	"Democrats Want Their Pound of Kavanaugh Flesh ""  URL #TCOT #MAGA #RedNationRising"""	NOT	NULL	NULL
41240	@USER Sad part is She knows she's sick... She knows what she is doing.. She has been a crook all her life... She's a very sick woman.. God have mercy of her soul..	OFF	TIN	IND
84753	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Charts by David Webster's briefings on benefit sanctions   (Nov 2013 to Sept 2018) URL	NOT	NULL	NULL
70260	@USER So Fucking What. It doesn’t matter if they found the Dead Sea scrolls or the Colonel’s secret recipe. This man should not be dead but he is so due to the ignorant negligence of someone else.	OFF	UNT	NULL
37600	Antifa Caught Off Guard After Getting Confronted By The Last Person They... URL via @USER Go Scott!! He is one of the strongest supporters of Trump :)))) The Persistance!!!!	NOT	NULL	NULL
34481	@USER It's so sad I grew up in a Christian Republican home and longed to be free like liberal cool kids. You new liberals are worse than 1950 parents. You ruin everything in your quest to prove getting picked last in gym wasn't because we wanted to play not  watch you fake injury.	NOT	NULL	NULL
48593	@USER @USER @USER If any left leaning freak attacks me I will attack back. But so many conservatives are just compliant. Happy with just bitching and complaining. How can we fire people up. The left has got energy. Lots of it. And if things don’t change. We’re going to loose.	OFF	TIN	GRP
49945	@USER @USER Just what a communist would do! Destroying America! Lock Him Up! TRUMP2020 MAGA!😎🇺🇸	OFF	TIN	IND
83725	"@USER @USER @USER that was what was observed INITIALLY. any interest in covering how the opposite has occurred since then according to all research and that it ended up being a smart marketing strategy? better make another When ANTIFA attacks"" video as 3 college kids yell in a cafeteria instead."""	NOT	NULL	NULL
64885	@USER She isn’t believed because of the lack of evidence she is presenting 3 decades after the fact. Her being a woman has nothing to do with it	NOT	NULL	NULL
59355	@USER @USER Technically speaking he is hamstrung by drug &amp; alcohol addiction	OFF	UNT	NULL
43221	#mbpoli #winnipeg #onpoli #canpoli welfare rates for single people in Ontario on reserve small town small city were $600 with liberals I remember welfare rate in Manitoba when I was on welfare when NDP were in power were 500. The NDP government in Manitoba gave me $285 for rent	NOT	NULL	NULL
24509	"@USER @USER @USER @USER @USER Oh yeah sure Antifa is anti-fascist"". Also, free speech is for everyone: liberals, conservatives, centrists, fascists, communists, anarchists, ancaps, etc. I live in the US and not a fascist state that bans what it thinks is ""hate speech"". URL"	OFF	TIN	GRP
51540	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Jealousy rears its ugly face...I am favored and blessed my girls adore me 😉 and so does God.	NOT	NULL	NULL
86265	@USER And somehow Trump is divine prophecy he's helping them all the wonderful things they wanted to take away from women...Fuck Religion. 2	OFF	TIN	IND
69082	@USER @USER You are most welcome	NOT	NULL	NULL
53541	@USER He should be talking about the Chinese leader seeing they pollute the most.	OFF	TIN	IND
19052	"@USER @USER I watched you on with Ari Melber and you were great. You are strong, articulate and have a large heart that extends to those who need a voice. Congrats to you. I guess we know Who's the Boss is Now""!"""	NOT	NULL	NULL
70701	"@USER @USER We have a different opinion of what a better"" gun control law looks like.😎  In one case an illegal alien with NO RIGHT to be here is involved.  In the other case Americans have 2A rights.  Can u tell the difference between American rights &amp; illegal aliens?"""	NOT	NULL	NULL
79727	@USER BITCH I TOOK FOUR YEARS TOO JDKDKDD	OFF	TIN	IND
90457	@USER @USER Pm is looking like the extra in the Tory version of SAW 2018 who suddenly realised that she must cut off her own limbs to survive.If she escapes that particular nightmare she is still a politically deceased PM. It's impossible to appease MUKGA Tories that don't want a compromise URL	OFF	TIN	IND
51853	".@USER spoke about a migrant found to be a member of #Islamic State, telling @USER viewers We don't want her here"" as he makes his case for swift deportation of convicted terrorists URL #auspol #saparli #adelaide #abetterway URL"	NOT	NULL	NULL
54527	@USER @USER @USER She is HORRIBLE. #WakeUp  #MakeAmericaGreatAgain #MakeAmericaAmericaAgain JOHN JAMES FOR #Senate !!!!	NOT	NULL	NULL
59684	@USER @USER But refugees! Marijuana! Peoplekind! Gun control!	OFF	UNT	NULL
44250	#party #partylite #Conservatives 1 book 150 subj insight site:My favorite #mythicalcreature? The honest politician  URL	NOT	NULL	NULL
98013	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Retweet to the end of time. MAGA Trump2020 and beyond.	OFF	TIN	IND
98561	@USER Al Franken anyone? Any assault or harassment stays with you for a lifetime.  I was sexually harassed in HS by a coach.  I was 17.  I remember it like yesterday and I'm almost 60.  Scott Newman you are scum.	OFF	TIN	IND
58216	...and said Kennedy was model of independent judge. The attack on Kavanaugh's character and integrity via 35-year-old accusations obscures his self-characterization as next Anthony Kennedy. There are no conservatives (@USER in the Senate.	NOT	NULL	NULL
41273	"#TheresaMay: come on fellow conservatives let's get behind the #ChequersPlan look it's a winner.""  #Brexit #HardBrexit do it NOW! URL"	NOT	NULL	NULL
51543	.@USER “Thatcher had an agenda: to crush the voice of the working people.”  And @USER are doing the same again today.   Join a Trade Union.   Join the @USER Party.  #ImWithDave  URL	NOT	NULL	NULL
65754	@USER What kind of classes are you taking? You have ass homework? Is this an anatomy class?	OFF	TIN	IND
96007	@USER Diane Feinstein Maxine Waters Hillary Clinton  Every member of antifa I'm sure the demonratic party could provide more examples but you're smarter than me in this realm.   #redtsunami #buryblue #startvettingsenators #startvettingcongressmen	NOT	NULL	NULL
67235	@USER @USER California is a state. In the USA. How stupid do you have to be to think there is gun control?	NOT	NULL	NULL
63062	@USER Both need to drink a cup of red ginseng tea and go to a neutral menopausal corner.	NOT	NULL	NULL
20936	@USER my mom left me a whole big squash. Any recipes you recommend I can do with a squash ??😅	NOT	NULL	NULL
89650	@USER @USER And what if she is lying? What if Kavanaugh is the victim of a smear and character assassination? What then?	NOT	NULL	NULL
42431	@USER @USER @USER He is a Lord now	NOT	NULL	NULL
34856	"@USER Eminem did gun control"" a machine gun kelly come back"""	NOT	NULL	NULL
99244	@USER Oh he is more than that lol	NOT	NULL	NULL
50852	.@USER announced that she is ready to represent the Philippines in the @USER Fashion Show 2018 URL #entertainmentnews	NOT	NULL	NULL
40568	@USER @USER Climate Change is a trigger word for the tin can liberals ..	NOT	NULL	NULL
50745	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are the best #Memember #Memologist URL	NOT	NULL	NULL
50670	@USER @USER @USER @USER @USER @USER @USER True. But are all school shootings and accidents with toddlers done by bad criminals who would know how to get a gun? Highly doubt it. These are spontaneous acts/accidents that would be dramatically reduced by gun control.	NOT	NULL	NULL
46051	@USER Do you know how rare she is? Gingers are mostly males. Gorgeous	NOT	NULL	NULL
